LTR,CANVAS ID,DEPT,COURSE,NAME,Instructor(s),# Students,Mode,Status,MT Date(s),MT Time(s),MT LT,MT Invig LT,MT Notes,FE Date,FE Time ,FE LT,FE Invig LT,FE Notes
HT,101866,CPSC,CPSC 210 103 2022W1,CPSC 210 103 2022W1 Software Construction,"GRUND, FELIX",253,In-Person,Active,,,,,,12/12/2022,08:30,In-Person,In-Person,
,,,,,"WOLFMAN, STEVEN",,,,,,,,,,,,,
HT,101867,CPSC,CPSC 213 101/102 2022W1,CPSC 213 101/102 2022W1 Introduction to Computer Systems,"FEELEY, MICHAEL",164,In-Person,Active,NO MT,,,,,12/16/2022,19:00,In-Person,In-Person,
HT,101871,CPSC,CPSC 259 101 2022W1,CPSC 259 101 2022W1 Data Structures and Algorithms for Electrical Engineers,"TIEN, GEOFFERY",206,In-Person,Active,NO MT,,,,,12/13/2022,08:30,In-Person,In-Person,
HT,101872,CPSC,CPSC 298 CP2 2022W1,CPSC 298 CP2 2022W1 Co-operative Work Placement I,TBA,0,In-Person,Active,N/A,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101882,CPSC,CPSC 317 101 2022W1,CPSC 317 101 2022W1 Internet Computing,"WANGNER, ALAN",192,In-Person,Active,NO MT,,,,,12/17/2022,12:00,In-Person,In-Person,
HT,101886,CPSC,CPSC 322 101/102 2022W1,CPSC 322 101/102 2022W1 Introduction to Artificial Intelligence,"JOHNSON, JORDON",149,In-Person,Active,TBA,,,,,12/14/2022,19:00,In-Person,In-Person,
HT,101887,CPSC,CPSC 322 102 2022W1,CPSC 322 102 2022W1 Introduction to Artificial Intelligence,"JOHNSON, JORDON",149,In-Person,Active,10/13/2022,17:00,NONE,In-Person,,12/14/2022,19:00,In-Person,In-Person,
HT,101891,CPSC,CPSC 344 101 2022W1,CPSC 344 101 2022W1 Introduction to Human Computer Interaction Methods,"JANZEN, IZABELLE",119,In-Person,Active,,,,,,12/21/2022,19:00,In-Person,In-Person,
HT,101892,CPSC,CPSC 402 101 2022W1,CPSC 402 101 2022W1 Numerical Linear Algebra,"HE, YUNHUI",22,In-Person,Active,10/24/2022,18:00,NONE,In-Person,,12/14/2022,12:00,In-Person,In-Person,
HT,101896,CPSC,CPSC 422 101 2022W1,CPSC 422 101 2022W1 Intelligent Systems,"JOHNSON, JORDON",130,In-Person,Active,TBA,,,,,12/13/2022,08:30,In-Person,In-Person,
HT,111818,CPSC,CPSC 425 101 2022W1,CPSC 425 101 2022W1 Computer Vision,"BROWN, MATTHEW",70,In-Person,Active,10/19/2022,TBA,,,,12/11/2022,19:00,In-Person,In-Person,
HT,101899,CPSC,CPSC 430 101/102 2022W1,CPSC 430 101/102 2022W1 Computers and Society,"LEYTON-BROWN, KEVIN",125,In-Person,Active,N/A,,,,,12/14/2022,15:30,In-Person,In-Person,
HT,101901,CPSC,CPSC 436A 101 2022W1,CPSC 436A 101 2022W1 Topics in Computer Science - OS DESIGN & IMPL,"ACHERMANN, RETO",45,In-Person,Active,11/7/2022,TBA,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
,,,,,"PASQUIER, THOMAS",,,,,,,,,,,,,
HT,101904,CPSC,CPSC 448B 102 2022W1,CPSC 448B 102 2022W1 Directed Studies in Computer Science - DIRECTED STUDIES,TBA,0,,Inactive,,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101905,CPSC,CPSC 448C 003 2022W1,CPSC 448C 003 2022W1 Directed Studies in Computer Science - DIRECTED STUDIES,TBA,0,,Inactive,,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101906,CPSC,CPSC 507 101 2022W1,CPSC 507 101 2022W1 Software Engineering,"HOLMES, REID",11,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101907,CPSC,CPSC 508 101 2022W1,CPSC 508 101 2022W1 Operating Systems,"SELTZER, MEGO",15,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101911,CPSC,CPSC 532D 101 2022W1,CPSC 532D 101 2022W1 Topics in Artificial Intelligence - STAT LEARN THRY,"SUTHERLAND, DNAICA",26,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101912,CPSC,CPSC 532G 101 2022W1,CPSC 532G 101 2022W1 Topics in Artificial Intelligence - DISCOURSE IN NLP,"CARENINI, GIUSEPPE",9,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101915,CPSC,CPSC 532M T1A 2022W1,CPSC 532M T1A 2022W1 Topics in Artificial Intelligence - INTRO ML AND DM,"LEHRMANN, ANDREAS",67,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101924,CPSC,CPSC 532P 101 2022W1,CPSC 532P 101 2022W1 Topics in Artificial Intelligence - PRIVACY IN ML,"PARK, MI JUNG",10,In-Person,Active,NO MT,,,,,12/11/2022,08:30,In-Person,In-Person,
HT,101925,CPSC,CPSC 532S 101 2022W1,CPSC 532S 101 2022W1 Topics in Artificial Intelligence - VISION&LANGUAGE,"SIGAL, LEONID",37,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101929,CPSC,CPSC 538M 101 2022W1,CPSC 538M 101 2022W1 Topics in Computer Systems - SYSTEMS SECURITY,"MEHTA, AASTHA",11,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101932,CPSC,CPSC 545 101 2022W1,CPSC 545 101 2022W1 Algorithms for Bioinformatics,"DING, JIARUI",12,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,101933,CPSC,CPSC 547 101 2022W1,CPSC 547 101 2022W1 Information Visualization,"MUNZNER, TAMARA",29,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,102029,DSCI,DSCI 511 001 2022W1,DSCI 511 001 2022W1 Programming for Data Science,"SEYED-AHMADI, ARMAN",124,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,102030,DSCI,DSCI 512 001 2022W1,DSCI 512 001 2022W1 Algorithms and Data Structures,"SEYED-AHMADI, ARMAN",89,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,102038,DSCI,DSCI 552 001 2022W1,DSCI 552 001 2022W1 Statistical Inference and Computation I,RODRIGUEZ ARELIS,124,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
,,,,,GILBERTO ALEXI,,,,,,,,,,,,,
HT,102039,DSCI,DSCI 561 001 2022W1,DSCI 561 001 2022W1 Regression I,"CHEN, DANIEL",123,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
,,,,,"COHEN FREUE, GABRIELA",,,,,,,,,,,,,
HT,102040,DSCI,DSCI 571 001 2022W1,DSCI 571 001 2022W1 Supervised Learning I,"KOLHATKAR, VARADA",124,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,102513,ENPH,ENPH 259 101 2022W1,ENPH 259 101 2022W1 Experimental Techniques,"JONES, DAVID",67,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
,,,,,"MARZALI, ANDRE",,,,,,,,,,,,,
HT,112225,ENVR,ENVR 201 101 2022W1,ENVR 201 101 2022W1 Climate Action Lab 1,"IVANOCHKO, TARA",23,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
,,,,,"IULIANELLA PHILLIPS, BIANCA",,,,,,,,,,,,,
HT,112226,ENVR,ENVR 302 101 2022W1,ENVR 302 101 2022W1 Climate Action Lab 1 and 2,"IVANOCHKO, TARA",19,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
,,,,,"AUSTIN, DELAINE",,,,,,,,,,,,,
HT,102522,ENVR,ENVR 430 201 2022W1,ENVR 430 201 2022W1 Ecological Dimensions of Sustainability,"CHAN, KAI",68,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
,,,,,"JOHNSON, DANA",,,,,,,,,,,,,
HT,102525,ENVR,ENVR 448C 001 2022W1,ENVR 448C 001 2022W1 Directed Studies in Environmental Science - DIR STD ENVR SCI,"IVANOCHKO, TARA",48,In-Person,Active,,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,102526,EOSC,EOSC 110 101 2022W1,EOSC 110 101 2022W1 The Solid Earth: A Dynamic Planet,"KENNEDY, LORI",124,In-Person,Active,TWO MTS,,,,,12/19/2022,19:00,In-Person,In-Person,
,,,,,,,,,DATE TBA,,,,,,,,,
HT,102527,EOSC,EOSC 111 L1A 2022W1,EOSC 111 L1A 2022W1 Laboratory Exploration of Planet Earth,"TORTELL, PHILIPPE",23,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,114944,EOSC,EOSC 111 L1B 2022W1,EOSC 111 L1B 2022W1 Laboratory Exploration of Planet Earth,"TORTELL, PHILIPPE",23,In-Person,Active,NO MT,,,,,NO FINAL,NO FINAL,NO FINAL,NO FINAL,
HT,102532,EOSC,EOSC 112 101 2022W1,EOSC 112 101 2022W1 The Fluid Earth: Atmosphere and Ocean,"CROWE, SEAN",120,In-Person,Active,10/03/2022,17:00,NONE,In-Person,,12/16/2022,19:00,In-Person,In-Person,
,,,,,"MALDONADO-PAREJA, MARIA",,,,11/2/2022,17:00,,,,,,,,
,,,,,"ORSI, ANAIS",,,,11/21/2022,18:00,,,,,,,,
HT,102533,EOSC,EOSC 114 101/102 2022W1,EOSC 114 101/102 2022W1 The Catastrophic Earth: Natural Disasters,"DARCY, MITCHALL",114,In-Person,Active,9/28/2022,4:00 PM,NONE,In-Person, ,12/17/2022,19:00,In-Person,In-Person,
,,,,,"MALDONANDO-PAREJA, MARIA",,,,10/26/2022,,,,,,,,,
,,,,,"PORRITT, LUCY",,,,11/23/2022,,,,,,,,,
,,,,,"RUSSEL, JAMES KELLY",,,,,,,,,,,,,
,,,,,"SMIT, MATTHIJS",,,,,,,,,,,,,
,,,,,"STULL, ROLAND",,,,,,,,,,,,,
